Date,SPX Index,MXEU Index,MXJP Index,MXEF Index,LEGATRUU Index,IBOXHY Index
2000-01-31,1394.46,127.07,1015.45,491.39,209.9137,99.2459
2000-02-29,1368.0517,135.8467,1014.7917,497.9207,209.5158,99.0376
2000-03-31,1501.8892,140.0468,1028.5346,500.6358,213.7084,97.0799
2000-04-28,1456.6948,140.7837,1001.8984,453.3733,208.4867,98.0039
2000-05-31,1426.7364,137.586,946.9767,434.4193,209.452,98.2228
2000-06-30,1461.9091,136.0941,994.2048,449.2038,214.7625,102.0151
2000-07-31,1439.1426,138.5234,910.7059,425.9973,212.6181,103.1773
2000-08-31,1528.5114,142.7798,943.295,427.81,211.6789,106.0437
2000-09-29,1447.8125,137.0025,910.4259,390.4558,212.2818,105.3094
2000-10-31,1441.6839,141.4616,866.1826,362.1001,210.5554,103.3444
2000-11-30,1328.0223,132.329,841.8198,330.401,214.1751,100.4222
2000-12-29,1334.5127,131.0983,814.7923,338.2709,220.3427,105.2787
2001-01-31,1381.8596,132.4163,819.8107,385.2057,221.4014,112.7884
2001-02-28,1255.8485,122.1579,789.7578,354.9193,221.7654,112.741
2001-03-30,1176.2909,117.6386,820.3912,319.5249,217.2239,110.8139
2001-04-30,1267.6908,125.7176,863.4992,335.0179,216.9619,108.5682
2001-05-31,1276.1224,125.1936,828.5257,338.9007,217.3685,108.7628
2001-06-29,1245.0548,120.7229,817.9165,331.8774,215.8441,105.3089
2001-07-31,1232.7861,117.0994,758.0032,310.7244,220.7894,106.7005
2001-08-31,1155.5802,109.8567,704.2403,307.5755,227.4357,107.831
2001-09-28,1062.2493,98.6283,639.716,259.9953,229.2003,99.8292
2001-10-31,1082.4891,102.9209,656.0047,276.1296,231.2717,102.7251
2001-11-30,1165.5252,107.6947,667.0215,305.046,228.5838,107.0089
2001-12-31,1175.7347,111.0634,662.2249,329.8702,223.8066,105.4593
2002-01-31,1158.5873,108.8692,623.042,340.7234,221.796,106.3354
2002-02-28,1136.2188,108.3404,649.1437,346.0981,223.2868,104.1347
2002-03-29,1178.9509,113.2692,680.1902,366.6211,221.9673,107.1351
2002-04-30,1107.4566,108.9085,697.3183,368.8442,228.5365,104.6429
2002-05-31,1099.2315,104.8494,715.9997,362.675,233.6625,103.4209
2002-06-28,1021.0201,95.7758,655.4887,335.3335,241.7978,96.9707
2002-07-31,941.4352,85.7518,609.4578,309.711,243.9735,90.4599
2002-08-30,947.5959,85.7247,596.984,314.4683,247.9547,91.8134
2002-09-30,844.6097,73.8846,586.0538,280.5233,250.6946,89.7271
2002-10-31,918.9514,80.8582,548.6558,298.8237,249.9807,89.7841
2002-11-29,973.0395,84.4473,570.6137,319.4043,250.6347,95.2015
2002-12-31,915.8714,77.1558,538.762,310.1237,260.7936,96.1386
2003-01-31,891.8779,71.8574,522.4648,308.5305,263.7244,98.3083
2003-02-28,878.496,69.2426,518.0409,298.9991,267.135,99.5507
2003-03-31,887.0172,67.4048,496.9497,290.3339,267.8021,100.7317
2003-04-30,960.0644,74.8999,495.8573,316.019,271.2372,105.8414
2003-05-30,1010.6424,75.7528,521.2214,338.6576,280.8783,106.1571
2003-06-30,1023.5256,78.3804,561.8693,358.0368,277.8326,108.2914
2003-07-31,1041.5369,81.6004,586.962,380.2974,269.7375,106.4112
2003-08-29,1061.8393,83.5054,628.0228,405.8437,269.1203,107.1899
2003-09-30,1050.5629,80.3357,637.2831,409.1095,282.0547,109.3548
2003-10-31,1109.9448,85.8636,655.7911,443.7079,280.4815,111.9149
2003-11-28,1119.6928,86.8015,633.0974,448.8277,284.1357,112.7595
2003-12-31,1178.4075,89.2902,662.5031,482.9445,293.4188,114.9631
2004-01-30,1200.0357,91.7185,666.1838,498.8715,294.5141,116.5882
2004-02-27,1216.7038,94.3971,685.637,521.4511,296.0315,116.2038
2004-03-31,1198.3464,92.4952,741.2577,527.5447,299.3105,116.6092
2004-04-30,1179.5419,94.1499,743.5043,484.3088,288.3665,117.3874
2004-05-31,1195.7098,94.0319,718.1929,474.6764,289.7796,115.2033
2004-06-30,1218.9685,95.6917,747.1947,477.4138,290.6265,116.0815
2004-07-30,1178.6206,94.0469,717.9833,468.7313,290.5662,117.5106
2004-08-31,1183.3782,93.2456,712.1026,488.3311,296.9259,120.0131
2004-09-30,1196.1878,94.8983,699.3169,516.5566,300.4347,121.9204
2004-10-29,1214.4668,96.0033,690.7537,528.919,307.6313,124.428
2004-11-30,1263.6004,98.652,700.8393,577.9079,315.7826,125.2745
2004-12-31,1306.5673,100.5471,734.4981,608.1106,320.621,126.6174
2005-01-31,1274.7182,102.9111,724.3398,608.6656,317.2467,125.6585
2005-02-28,1301.5411,106.1315,745.2048,660.981,317.8506,127.674
2005-03-31,1278.4926,105.6933,749.3289,617.3661,314.0052,124.0558
2005-04-29,1254.2488,103.8747,716.0618,600.8195,318.1145,122.7722
2005-05-31,1294.1547,109.123,728.7731,621.7309,313.8526,124.8438
2005-06-30,1295.9943,112.8724,748.5634,643.4767,312.4451,126.8578
2005-07-29,1344.188,116.614,764.7938,688.8798,309.9434,128.3416
2005-08-31,1331.9247,116.906,811.0378,695.0201,315.0448,128.6216
2005-09-30,1342.7121,122.1631,912.8688,759.7911,310.0292,127.2814
2005-10-31,1320.3341,119.1022,926.1965,710.1001,305.4141,126.8243
2005-11-30,1370.2681,123.0715,992.6185,768.8425,303.2463,128.0462
2005-12-30,1370.6797,127.3318,1063.1714,816.3352,306.2398,129.2152
2006-01-31,1406.9813,131.7847,1107.6406,906.3301,310.1028,130.1676
2006-02-28,1410.7851,134.3336,1086.5904,904.7903,309.003,131.0003
2006-03-31,1428.3323,137.55,1135.9756,913.0545,305.9398,131.4483
2006-04-28,1447.5071,139.0397,1131.1815,977.8665,311.7309,132.1486
2006-05-31,1405.8481,132.8053,1041.2004,875.4153,315.7516,131.1283
2006-06-30,1407.712,133.907,1049.917,873.5587,313.2429,130.4323
2006-07-31,1416.4,136.2239,1045.1943,886.2003,316.3634,131.0132
2006-08-31,1450.1027,140.1223,1087.313,909.1173,320.019,132.8761
2006-09-29,1487.4366,142.811,1077.3676,916.7725,319.9951,134.6989
2006-10-31,1535.9001,147.8244,1087.649,960.5316,323.0906,136.3699
2006-11-30,1565.109,147.424,1081.1347,1031.8094,330.9593,138.0746
2006-12-29,1586.9279,152.9684,1141.6317,1081.0488,326.572,139.4043
2007-01-31,1610.9246,156.1508,1168.698,1068.4684,323.3623,140.4059
2007-02-28,1579.4234,153.0601,1190.8404,1061.784,330.0166,142.5136
2007-03-30,1597.0649,157.4541,1172.2114,1103.7225,330.7967,142.9097
2007-04-30,1667.8147,163.6868,1162.946,1154.6885,334.5356,144.9059
2007-05-31,1725.9964,169.2067,1204.5385,1212.3729,329.3193,145.6412
2007-06-29,1697.3056,168.6155,1218.0626,1268.9136,327.8588,141.8581
2007-07-31,1644.6853,162.8338,1171.9654,1336.3703,334.517,135.3339
2007-08-31,1669.3356,161.7077,1107.4259,1308.4723,338.6358,139.961
2007-09-28,1731.7496,162.8591,1124.8327,1453.1232,346.236,144.2198
2007-10-31,1759.2955,167.5672,1123.1139,1615.1488,351.8794,144.9564
2007-11-30,1687.11,159.9065,1060.6747,1501.012,358.604,141.0128
2007-12-31,1675.3411,157.7334,1026.0472,1509.3474,357.5349,142.7137
2008-01-31,1574.8493,139.5155,931.9001,1320.0668,367.4668,139.9082
2008-02-29,1523.6828,138.2897,918.707,1416.4735,373.6136,138.8971
2008-03-31,1517.0955,133.0766,843.5827,1341.7862,381.2352,138.6368
2008-04-30,1590.991,141.8113,949.955,1450.6808,373.9583,144.0319
2008-05-30,1611.5982,143.0227,983.5702,1478.4163,369.8232,144.8086
2008-06-30,1475.7216,128.841,920.3894,1330.7259,370.1382,139.3322
2008-07-31,1463.3163,126.3664,906.4675,1281.3423,370.648,138.974
2008-08-29,1484.4861,128.66,873.9497,1179.4249,364.5218,139.1459
2008-09-30,1352.1957,114.5343,759.4227,973.0897,355.9454,128.7993
2008-10-31,1125.0933,99.9196,599.5064,706.899,342.8245,106.5449
2008-11-28,1044.3701,93.0365,573.4503,653.6924,352.7373,98.973
2008-12-31,1055.4671,89.3922,590.1864,706.0966,374.6532,108.6395
2009-01-30,966.5089,86.2616,544.9819,659.7208,362.4016,115.482
2009-02-27,863.5963,78.2272,520.2351,622.2751,354.3056,110.5769
2009-03-31,939.2465,80.0527,536.8446,711.9177,362.4595,111.3764
2009-04-30,1029.1227,91.5896,586.2573,830.0328,365.72,121.499
2009-05-29,1086.6511,96.3609,627.093,972.4313,378.7724,128.5059
2009-06-30,1088.8018,95.38,645.2272,959.5025,380.3394,132.1647
2009-07-31,1171.1489,104.2687,663.6359,1067.7982,388.7619,141.2768
2009-08-31,1213.4087,109.5341,672.1607,1064.1445,395.5908,141.4612
2009-09-30,1258.6824,112.5304,637.7034,1160.9122,404.0448,149.4179
2009-10-30,1235.2874,110.1894,628.5902,1162.3696,405.9431,150.6797
2009-11-30,1309.3319,111.4551,592.1559,1212.3522,416.2799,151.8661
2009-12-31,1334.6185,118.4027,644.9194,1262.1372,400.6166,156.9416
2010-01-29,1286.6112,115.0084,639.9128,1191.1529,402.2715,157.8736
2010-02-26,1326.4391,114.8064,634.3139,1195.1541,402.5709,157.3229
2010-03-31,1406.4859,123.3876,700.8271,1291.7751,399.5282,161.6594
2010-04-30,1428.6807,122.311,703.7254,1307.3827,399.5925,165.1504
2010-05-31,1314.6038,116.619,626.3361,1192.865,393.3464,158.77
2010-06-30,1245.7774,116.0484,596.8552,1184.4546,399.3711,161.4453
2010-07-30,1333.0553,121.8106,605.137,1283.6549,412.9417,167.4355
2010-08-31,1272.8722,120.2877,572.9483,1258.8566,418.6888,166.4379
2010-09-30,1386.4632,124.2962,596.5224,1398.8565,428.5144,171.52
2010-10-29,1439.2156,127.3787,586.9399,1439.5188,433.8954,175.7803
2010-11-30,1439.3889,125.7169,623.1298,1401.5192,417.3784,173.0395
2010-12-31,1535.5941,132.2342,649.3674,1503.6622,422.8288,176.6848
2011-01-31,1571.9835,134.5071,656.7733,1462.1501,423.5898,180.7591
2011-02-28,1625.825,137.9276,686.7266,1447.8145,426.0836,183.174
2011-03-31,1626.4809,133.1933,631.5234,1533.0143,428.0903,183.5521
2011-04-29,1674.6357,137.6744,620.4928,1580.7231,441.3591,186.3475
2011-05-31,1655.6746,137.6051,610.9965,1539.3479,441.0128,186.8804
2011-06-30,1628.0739,133.8671,616.5332,1516.3347,441.3473,184.8823
2011-07-29,1594.9577,130.5205,609.9475,1510.4474,450.4575,187.2444
2011-08-31,1508.3034,117.2263,555.1643,1375.7976,456.1867,179.9696
2011-09-30,1402.2751,112.0153,551.1746,1175.325,445.6455,173.3597
2011-10-31,1555.5324,120.7959,556.1731,1330.1916,451.5775,186.1345
2011-11-30,1552.0791,119.5411,528.8985,1242.2632,443.6969,180.5527
2011-12-30,1567.9265,122.0659,528.5987,1229.232,446.6889,187.1852
2012-01-31,1638.1888,126.7298,547.5416,1368.0246,454.1653,192.622
2012-02-29,1709.0281,131.9159,610.5507,1449.2078,453.8564,196.9567
2012-03-30,1765.1754,131.8245,629.7473,1400.9369,450.5883,195.6947
2012-04-30,1754.0851,129.6659,591.4657,1384.358,455.9054,197.7623
2012-05-31,1648.6656,121.9991,528.8438,1229.687,451.2251,193.8992
2012-06-29,1716.5978,128.354,565.8424,1277.4054,453.3819,198.8111
2012-07-31,1740.4342,133.7509,540.6371,1303.1803,458.6267,202.6076
2012-08-31,1779.6676,136.4452,538.0871,1299.1862,462.5869,204.6509
2012-09-28,1825.6515,137.6742,547.4473,1377.7537,468.2265,206.8862
2012-10-31,1791.9429,138.6664,551.9615,1369.4642,467.5689,208.8295
2012-11-30,1802.3335,141.7573,582.9938,1386.8847,467.5198,209.9632
2012-12-31,1818.6889,143.7896,643.6839,1456.6123,465.98,213.6663
2013-01-31,1912.8799,147.8389,704.3302,1476.0392,461.7416,215.8851
2013-02-28,1938.8349,149.3084,731.0484,1456.828,457.3666,216.2206
2013-03-29,2011.5505,151.7945,782.6401,1432.0043,456.2051,218.2061
2013-04-30,2050.3024,154.3374,881.7361,1442.9208,462.5508,222.5409
2013-05-31,2098.2214,157.521,861.7875,1406.3342,448.7991,220.429
